pair_id,mos,n_ratings,sd,stimulus_id,stimulus_set,condition
ambient_03::pitch_shift::-1st,4.0,1,,stim_0006,matrix,pitch_shift:-1
ambient_03::style_swap::swap_cross,1.0,1,,stim_0007,matrix,style_swap:cross_genre
ambient_11::style_swap::swap_cross,1.0,1,,stim_0028,matrix,style_swap:cross_genre
classical_02::distortion::drv4,5.0,1,,stim_0044,matrix,distortion:4
classical_02::time_stretch::+5pct,4.0,1,,stim_0046,matrix,time_stretch:5
classical_03::lowpass::lp2000,5.0,1,,stim_0048,matrix,lowpass:2000
classical_03::pitch_shift::-4st,2.0,1,,stim_0049,matrix,pitch_shift:-4
classical_06::pitch_shift::+1st,4.0,1,,stim_0058,matrix,pitch_shift:1
classical_07::control::ctrl,5.0,1,,stim_0060,matrix,control
classical_07::pitch_shift::+2st,3.0,1,,stim_0061,matrix,pitch_shift:2
classical_07::style_swap::swap_cross,1.0,1,,stim_0062,matrix,style_swap:cross_genre
classical_08::lowpass::lp8000,5.0,1,,stim_0063,matrix,lowpass:8000
classical_08::time_stretch::+5pct,4.0,1,,stim_0065,matrix,time_stretch:5
classical_09::pitch_shift::+2st,3.0,1,,stim_0067,matrix,pitch_shift:2
classical_09::time_stretch::-20pct,2.0,1,,stim_0068,matrix,time_stretch:-20
classical_11::distortion::drv4,4.0,1,,stim_0072,matrix,distortion:4
classical_11::time_stretch::+10pct,5.0,1,,stim_0074,matrix,time_stretch:10
classical_12::pitch_shift::-1st,4.0,1,,stim_0076,matrix,pitch_shift:-1
electronic_02::distortion::drv12,2.0,1,,stim_0081,matrix,distortion:12
electronic_02::time_stretch::+20pct,3.0,1,,stim_0083,matrix,time_stretch:20
electronic_04::distortion::drv12,4.0,1,,stim_0086,matrix,distortion:12
electronic_04::time_stretch::-10pct,3.0,1,,stim_0087,matrix,time_stretch:-10
electronic_07::lowpass::lp2000,3.0,1,,stim_0092,matrix,lowpass:2000
electronic_12::lowpass::lp2000,3.0,1,,stim_0097,matrix,lowpass:2000
electronic_12::pitch_shift::-2st,3.0,1,,stim_0098,matrix,pitch_shift:-2
folk_01::control::ctrl,5.0,1,,stim_0106,matrix,control
folk_01::pitch_shift::+4st,3.0,1,,stim_0107,matrix,pitch_shift:4
folk_05::time_stretch::-20pct,3.0,1,,stim_0113,matrix,time_stretch:-20
folk_06::lowpass::lp4000,3.0,1,,stim_0115,matrix,lowpass:4000
folk_12::time_stretch::+20pct,5.0,1,,stim_0121,matrix,time_stretch:20
folk_13::pitch_shift::-2st,3.0,1,,stim_0124,matrix,pitch_shift:-2
folk_13::time_stretch::-5pct,5.0,1,,stim_0125,matrix,time_stretch:-5
jazz_04::pitch_shift::+1st,3.0,1,,stim_0130,matrix,pitch_shift:1
jazz_07::distortion::drv12,1.0,1,,stim_0132,matrix,distortion:12
jazz_12::control::ctrl,4.0,1,,stim_0139,matrix,control
jazz_12::time_stretch::-20pct,3.0,1,,stim_0140,matrix,time_stretch:-20
rock_04::pitch_shift::+4st,3.0,1,,stim_0175,matrix,pitch_shift:4
rock_05::control::ctrl,5.0,1,,stim_0178,matrix,control
rock_05::lowpass::lp8000,2.0,1,,stim_0179,matrix,lowpass:8000
rock_06::distortion::drv32,1.0,1,,stim_0182,matrix,distortion:32
rock_06::pitch_shift::+1st,3.0,1,,stim_0183,matrix,pitch_shift:1
rock_06::time_stretch::+10pct,3.0,1,,stim_0184,matrix,time_stretch:10
rock_11::distortion::drv4,2.0,1,,stim_0185,matrix,distortion:4
